sep=,
Country Name,Country Code,Series Name,Series Code,2010,2014
Afghanistan,AFG,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,351.434.593.200.684,396.748.008.728.027
American Samoa,ASM,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,..,..
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..
American Samoa,ASM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..
American Samoa,ASM,Population* female (% of total),SP.POP.TOTL.FE.ZS,..,..
American Samoa,ASM,Population* total,SP.POP.TOTL,55636,55434
Andorra,ADO,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,..,..
Andorra,ADO,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,..,..
Andorra,ADO,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,..,..
Andorra,ADO,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,..,..
Andorra,ADO,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,..,..
Andorra,ADO,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,..,..
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,39.641.746.008.498,..
Andorra,ADO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-416.509.318.500.468,..
Andorra,ADO,Population* female (% of total),SP.POP.TOTL.FE.ZS,..,..
Andorra,ADO,Population* total,SP.POP.TOTL,84419,72786
Angola,AGO,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,234.139.099.121.094,..
Angola,AGO,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,341.809.883.117.676,..
Angola,AGO,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,125.214.546.203.613,..
Angola,AGO,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,101.756.607.055.664,..
Angola,AGO,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,..,..
Angola,AGO,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,..,..
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,388.647.935.432.524,523.276.230.029.543
Angola,AGO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.00281210036590096,143.324.784.112.657
Angola,AGO,Population* female (% of total),SP.POP.TOTL.FE.ZS,504.562.922.238.192,503.928.218.170.375
Angola,AGO,Population* total,SP.POP.TOTL,21219954,24227524
Antigua and Barbuda,ATG,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,106.696.319.580.078,102.844.703.674.316
Antigua and Barbuda,ATG,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,105.698.150.634.766,101.803.611.755.371
Antigua and Barbuda,ATG,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,107.920.608.520.508,100.917.961.120.605
Antigua and Barbuda,ATG,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,988.128.433.227.539,933.091.888.427.734
Antigua and Barbuda,ATG,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,226.758.003.234.863,..
Antigua and Barbuda,ATG,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,905.893.039.703.369,..
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,130.173.103.875.487,134.320.792.079.208
Antigua and Barbuda,ATG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-813.614.288.403.357,354.986.107.152.261
Antigua and Barbuda,ATG,Population* female (% of total),SP.POP.TOTL.FE.ZS,522.543.074.295.278,522.145.214.521.452
Antigua and Barbuda,ATG,Population* total,SP.POP.TOTL,87233,90900
Arab World,ARB,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,654.748.611.450.195,67.968.879.699.707
Arab World,ARB,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,705.269.165.039.063,733.778.991.699.219
Arab World,ARB,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,101.795.532.226.563,100.295.463.562.012
Arab World,ARB,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,93.979.621.887.207,936.080.017.089.844
Arab World,ARB,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,252.890.892.028.809,287.679.996.490.479
Arab World,ARB,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,242.632.007.598.877,276.124.095.916.748
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,595.798.900.867.645,752.104.367.321.527
Arab World,ARB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,229.158.325.298.455,0.685243252672322
Arab World,ARB,Population* female (% of total),SP.POP.TOTL.FE.ZS,483.414.720.936.188,482.386.695.229.219
Arab World,ARB,Population* total,SP.POP.TOTL,353112237,384222592
Argentina,ARG,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,106.633.598.327.637,..
Argentina,ARG,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,971.274.871.826.172,..
Argentina,ARG,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,117.521.179.199.219,..
Argentina,ARG,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,115.887.100.219.727,..
Argentina,ARG,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,89.158.447.265.625,..
Argentina,ARG,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,591.373.100.280.762,..
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,103.320.323.662.966,123.249.387.857.728
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,921.789.374.020.754,-355.992.086.617.138
Argentina,ARG,Population* female (% of total),SP.POP.TOTL.FE.ZS,510.871.670.158.862,510.732.566.797.424
Argentina,ARG,Population* total,SP.POP.TOTL,41222875,42980026
Armenia,ARM,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,..,..
Armenia,ARM,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,..,..
Armenia,ARM,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,..,..
Armenia,ARM,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,..,..
Armenia,ARM,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,631.326.599.121.094,484.956.893.920.898
Armenia,ARM,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,402.656.517.028.809,400.555.992.126.465
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,312.478.401.786.195,386.191.557.044.458
Armenia,ARM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,229.007.820.407.587,311.883.263.465.545
Armenia,ARM,Population* female (% of total),SP.POP.TOTL.FE.ZS,485.913.259.204.669,527.845.213.518.669
Armenia,ARM,Population* total,SP.POP.TOTL,2963496,3006154
Aruba,ABW,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,982.680.511.474.609,..
Aruba,ABW,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,934.765.930.175.781,..
Aruba,ABW,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,114.477.272.033.691,119.129.013.061.523
Aruba,ABW,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,112.983.360.290.527,1.154.296.875
Aruba,ABW,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,43.949.878.692.627,238.256.893.157.959
Aruba,ABW,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,311.173.496.246.338,104.161.100.387.573
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,242.891.415.161.326,..
Aruba,ABW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..
Aruba,ABW,Population* female (% of total),SP.POP.TOTL.FE.ZS,523.233.953.758.477,52.435.687.976.721
Aruba,ABW,Population* total,SP.POP.TOTL,101597,103441
Australia,AUS,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,130.339.508.056.641,..
Australia,AUS,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,13.442.170.715.332,..
Australia,AUS,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,105.796.508.789.063,..
Australia,AUS,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,105.606.491.088.867,..
Australia,AUS,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,944.553.985.595.703,..
Australia,AUS,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,683.968.963.623.047,..
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,518.456.548.605.562,619.958.296.976
Australia,AUS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.443578091499134,0.98519256861276
Australia,AUS,Population* female (% of total),SP.POP.TOTL.FE.ZS,499.798.830.142.117,500.216.130.035.818
Australia,AUS,Population* total,SP.POP.TOTL,22031750,23464086
Austria,AUT,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,967.997.894.287.109,9.692.626.953.125
Austria,AUT,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,100.826.972.961.426,101.569.938.659.668
Austria,AUT,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,100.501.953.125,10.277.564.239.502
Austria,AUT,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,991.417.007.446.289,101.698.356.628.418
Austria,AUT,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,742.141.799.926.758,876.020.431.518.555
Austria,AUT,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,634.299.011.230.469,727.908.401.489.258
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,466.598.408.181.344,513.226.399.728.758
Austria,AUT,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,168.393.662.063.365,-0.0880538840875289
Austria,AUT,Population* female (% of total),SP.POP.TOTL.FE.ZS,512.724.520.751.107,509.550.170.507.728
Austria,AUT,Population* total,SP.POP.TOTL,8363404,8541575
Azerbaijan,AZE,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,98.033.317.565.918,102.441.719.055.176
Azerbaijan,AZE,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,995.077.209.472.656,103.109.016.418.457
Azerbaijan,AZE,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,942.229.690.551.758,106.555.923.461.914
Azerbaijan,AZE,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,932.366.104.125.977,105.492.950.439.453
Azerbaijan,AZE,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,19.156.379.699.707,247.532.291.412.354
Azerbaijan,AZE,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,193.622.493.743.896,216.763.706.207.275
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,584.280.578.358.576,788.645.914.367.274
Azerbaijan,AZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,361.418.749.995.566,0.734739796072986
Azerbaijan,AZE,Population* female (% of total),SP.POP.TOTL.FE.ZS,504.372.084.375.058,50.246.199.834.908
Azerbaijan,AZE,Population* total,SP.POP.TOTL,9054332,9535079
Bahamas* The,BHS,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,950.799.179.077.148,..
Bahamas* The,BHS,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,902.336.196.899.414,..
Bahamas* The,BHS,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,106.891.609.191.895,..
Bahamas* The,BHS,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,108.941.513.061.523,..
Bahamas* The,BHS,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,..,..
Bahamas* The,BHS,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,..,..
Bahamas* The,BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,219.205.165.867.583,224.974.497.068.298
Bahamas* The,BHS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.163711549513536,-187.822.032.078.932
Bahamas* The,BHS,Population* female (% of total),SP.POP.TOTL.FE.ZS,511.157.608.846.271,510.565.090.039.525
Bahamas* The,BHS,Population* total,SP.POP.TOTL,360830,383054
Bahrain,BHR,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,..,..
Bahrain,BHR,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,..,..
Bahrain,BHR,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,..,..
Bahrain,BHR,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,..,..
Bahrain,BHR,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,..,565.315.399.169.922
Bahrain,BHR,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,..,24.230.749.130.249
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,203.860.175.551.116,245.149.991.306.142
Bahrain,BHR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-100.465.805.385.839,33.925.091.874.041
Bahrain,BHR,Population* female (% of total),SP.POP.TOTL.FE.ZS,376.020.657.740.033,379.191.294.706.776
Bahrain,BHR,Population* total,SP.POP.TOTL,1261319,1361930
Bangladesh,BGD,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,530.845.489.501.953,..
Bangladesh,BGD,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,472.724.990.844.727,..
Bangladesh,BGD,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,995.810.699.462.891,..
Bangladesh,BGD,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,105.859.909.057.617,..
Bangladesh,BGD,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,..,113.874.197.006.226
Bangladesh,BGD,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,..,154.341.201.782.227
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,760.331.935.200.195,108.680.008.676.935
Bangladesh,BGD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,438.046.231.457.598,478.090.004.537.268
Bangladesh,BGD,Population* female (% of total),SP.POP.TOTL.FE.ZS,494.342.205.942.024,495.078.603.598.737
Bangladesh,BGD,Population* total,SP.POP.TOTL,151616777,159077513
Barbados,BRB,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,102.156.677.246.094,110.680.976.867.676
Barbados,BRB,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,101.653.923.034.668,10.787.589.263.916
Barbados,BRB,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,988.927.993.774.414,931.171.035.766.602
Barbados,BRB,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,10.055.982.208.252,941.668.930.053.711
Barbados,BRB,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,958.544.769.287.109,..
Barbados,BRB,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,438.875.389.099.121,..
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,159.061.893.174.632,153.600.618.007.811
Barbados,BRB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.138718850535469,-0.111608403267482
Barbados,BRB,Population* female (% of total),SP.POP.TOTL.FE.ZS,520.163.396.121.131,520.696.591.149.693
Barbados,BRB,Population* total,SP.POP.TOTL,279566,283380
Belarus,BLR,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,105.267.723.083.496,10.609.895.324.707
Belarus,BLR,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,108.748.199.462.891,107.913.803.100.586
Belarus,BLR,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,103.544.296.264.648,988.801.498.413.086
Belarus,BLR,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,103.350.311.279.297,990.571.212.768.555
Belarus,BLR,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,944.353.103.637.695,101.969.749.450.684
Belarus,BLR,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,652.428.512.573.242,764.591.522.216.797
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,58.188.548.592.158,802.530.435.552.468
Belarus,BLR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,793.378.366.874.254,154.072.889.407.162
Belarus,BLR,Population* female (% of total),SP.POP.TOTL.FE.ZS,535.015.984.834.582,53.520.264.678.769
Belarus,BLR,Population* total,SP.POP.TOTL,9490000,9483000
Belgium,BEL,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,10.420.777.130.127,175.380.493.164.063
Belgium,BEL,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,107.297.958.374.023,154.670.974.731.445
Belgium,BEL,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,103.345.123.291.016,10.478.946.685.791
Belgium,BEL,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,103.182.609.558.105,104.922.180.175.781
Belgium,BEL,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,757.907.180.786.133,833.613.662.719.727
Belgium,BEL,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,59.852.668.762.207,636.220.207.214.355
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,443.828.189.867.028,47.346.792.823.245
Belgium,BEL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,17.609.683.052.648,121.510.535.220.281
Belgium,BEL,Population* female (% of total),SP.POP.TOTL.FE.ZS,509.990.322.029.925,508.627.937.092.843
Belgium,BEL,Population* total,SP.POP.TOTL,10895586,11231213
Belize,BLZ,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,782.303.771.972.656,817.060.470.581.055
Belize,BLZ,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,725.081.329.345.703,780.534.973.144.531
Belize,BLZ,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,114.791.839.599.609,114.442.230.224.609
Belize,BLZ,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,110.280.128.479.004,10.895.002.746.582
Belize,BLZ,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,268.697.490.692.139,..
Belize,BLZ,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,168.358.993.530.273,..
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,434.801.953.874.968,488.436.856.220.286
Belize,BLZ,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.853345124138329,186.010.579.412.081
Belize,BLZ,Population* female (% of total),SP.POP.TOTL.FE.ZS,49.980.566.464.247,501.185.649.377.605
Belize,BLZ,Population* total,SP.POP.TOTL,321609,351706
Benin,BEN,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,..,438.577.613.830.566
Benin,BEN,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,..,648.131.408.691.406
Benin,BEN,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,123.902.122.497.559,131.103.927.612.305
Benin,BEN,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,108.600.616.455.078,119.922.607.421.875
Benin,BEN,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,688.721.990.585.327,..
Benin,BEN,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,196.347.198.486.328,..
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,732.953.622.726.674,915.926.640.778.784
Benin,BEN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.769714149511231,358.530.648.253.907
Benin,BEN,Population* female (% of total),SP.POP.TOTL.FE.ZS,502.474.921.128.714,501.471.437.135.997
Benin,BEN,Population* total,SP.POP.TOTL,9509798,10598482
Bermuda,BMU,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,853.526.229.858.398,774.333.114.624.023
Bermuda,BMU,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,7.228.662.109.375,6.795.947.265.625
Bermuda,BMU,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,..,888.422.775.268.555
Bermuda,BMU,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,..,860.616.607.666.016
Bermuda,BMU,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,406.086.502.075.195,360.803.985.595.703
Bermuda,BMU,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,192.754.306.793.213,190.708.999.633.789
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,882.073.275.597.322,..
Bermuda,BMU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-132.438.480.325.234,..
Bermuda,BMU,Population* female (% of total),SP.POP.TOTL.FE.ZS,..,..
Bermuda,BMU,Population* total,SP.POP.TOTL,65124,65139
Bhutan,BTN,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,666.562.805.175.781,870.563.278.198.242
Bhutan,BTN,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,655.798.416.137.695,814.165.802.001.953
Bhutan,BTN,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,108.158.317.565.918,101.410.430.908.203
Bhutan,BTN,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,110.682.479.858.398,102.873.802.185.059
Bhutan,BTN,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,528.041.982.650.757,..
Bhutan,BTN,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,863.803.005.218.506,..
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,220.129.307.778.936,256.052.213.174.131
Bhutan,BTN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,980.477.592.638.753,431.189.353.743.929
Bhutan,BTN,Population* female (% of total),SP.POP.TOTL.FE.ZS,463.569.391.568.992,462.600.391.107.021
Bhutan,BTN,Population* total,SP.POP.TOTL,720246,765008
Bolivia,BOL,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,826.110.916.137.695,..
Bolivia,BOL,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,836.421.508.789.063,..
Bolivia,BOL,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,..,..
Bolivia,BOL,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,..,..
Bolivia,BOL,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,..,..
Bolivia,BOL,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,..,..
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,198.116.631.274.669,312.408.543.446.758
Bolivia,BOL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,245.461.270.566.774,384.187.781.048.047
Bolivia,BOL,Population* female (% of total),SP.POP.TOTL.FE.ZS,498.855.593.907.995,499.143.855.638.675
Bolivia,BOL,Population* total,SP.POP.TOTL,9918245,10561887
Bosnia and Herzegovina,BIH,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,..,900.487.594.604.492
Bosnia and Herzegovina,BIH,School enrollment* secondary* male (% gross),SE.SEC.ENRR.MA,..,873.943.176.269.531
Bosnia and Herzegovina,BIH,School enrollment* primary* male (% gross),SE.PRM.ENRR.MA,..,999.577.331.542.969
Bosnia and Herzegovina,BIH,School enrollment* primary* female (% gross),SE.PRM.ENRR.FE,..,100.400.238.037.109
Bosnia and Herzegovina,BIH,School enrollment* tertiary* female (% gross),SE.TER.ENRR.FE,424.582.405.090.332,546.791.610.717.773
Bosnia and Herzegovina,BIH,School enrollment* tertiary* male (% gross),SE.TER.ENRR.MA,315.291.900.634.766,408.883.895.874.023
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,447.508.813.004.565,485.231.864.873.611
Bosnia and Herzegovina,BIH,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.832255910654254,124.018.869.871.276
Bosnia and Herzegovina,BIH,Population* female (% of total),SP.POP.TOTL.FE.ZS,502.074.436.713.254,502.254.061.108.238
Bosnia and Herzegovina,BIH,Population* total,SP.POP.TOTL,3835258,3817554
Botswana,BWA,School enrollment* secondary* female (% gross),SE.SEC.ENRR.FE,..,..
